Questionnaire Name,Account Number,Account Name,Country,CDP Region,ParentSection,Section,RowNumber,Question Number,Question Name,Area affected by climate change,Health-related risk and vulnerability assessment undertaken,Identify the climate hazards most significantly impacting the selected areas,Identify the climate-related health issues faced by your city,Timescale of climate-related issues for the selected health area,Please identify which vulnerable populations are affected by these climate-related impacts,Please explain
Cities 2021,3422,Greater London Authority,United Kingdom of Great Britain and Northern Ireland,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Health systems (service provision, infrastructure and technologies)",,Extreme Precipitation > Rain storm,Disruption to health service provision,Current,Elderly; Low-income households; Persons living in sub-standard housing; Persons with disabilities; Persons with pre-existing medical conditions; Unemployed persons,"Flash flooding in July 2021 caused 2 London hospitals to close / redirect patients. Such closures put at risk anyone needing to access health services, such as the vulnerable groups identified."
Cities 2021,3422,Greater London Authority,United Kingdom of Great Britain and Northern Ireland,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,2,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Health outcomes,,,Air-pollution related illnesses,Current,Children and youth; Elderly; Persons with pre-existing medical conditions,"In 2019, in Greater London, the equivalent of between 3,600 to 4,100 deaths were estimated to be attributable to air pollution, considering that health effects exist even at very low levels. This calculation is for deaths from all causes including respiratory, lung cancer and cardiovascular deaths. The highest number of deaths was in outer London boroughs, mainly due to the higher proportion of elderly people in these areas, who are more vulnerable to the impacts of air pollution."
Cities 2021,3422,Greater London Authority,United Kingdom of Great Britain and Northern Ireland,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,3,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Health outcomes,,Extreme hot temperature > Heat wave,Heat-related illnesses,Current,Children and youth; Elderly,"Temperatures above 24.7°C over two days leads to greater incidences of morbidity, mortality, and hospital admissions in London, especially among the elderly."
Cities 2021,3429,Stockholms stad,Sweden,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Health outcomes; Health systems (service provision, infrastructure and technologies)",Yes,Extreme hot temperature > Heat wave; Extreme Precipitation > Rain storm; Flood and sea level rise > River flood,"Disruption of health-related services (e.g. roads, electricity, communications, emergency/ambulatory response, laboratories, pharmacies); Disruption to water, sanitation and wastewater services; Heat-related illnesses",Current,"Elderly; Low-income households; Other, please specify: Disruption of healt-related services as mentioned above may affect anyone in need of those services","Please, find explanation included above"
Cities 2021,5871,Essex County Council,United Kingdom of Great Britain and Northern Ireland,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health outcomes; Health systems (service provision, infrastructure and technologies)",No,Extreme hot temperature > Extreme hot days; Extreme hot temperature > Heat wave; Flood and sea level rise > Coastal flood,"Disruption of health-related services (e.g. roads, electricity, communications, emergency/ambulatory response, laboratories, pharmacies); Disruption to health service provision; Disruption to water, sanitation and wastewater services",Short-term (by 2025),Children and youth; Elderly,"A dedicated climate health-related risk and vulnerability assessment has not been undertaken, however risks from existing plans and reports attached do include the discussion of health risks related to climate change impacts."
Cities 2021,18078,Swale Borough Council,United Kingdom of Great Britain and Northern Ireland,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Health outcomes,No,Extreme cold temperature > Cold wave; Extreme cold temperature > Extreme cold days,Heat-related illnesses,Current,Elderly,Excess winter deaths have risen across by Kent in between 2010 and 2019 (https://www.kent.gov.uk/__data/assets/pdf_file/0005/91058/Kent-environment-strategy-indicators.pdf)
Cities 2021,8242,Helsingin kaupunki,Finland,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Health outcomes; Health systems (service provision, infrastructure and technologies)",Yes,Extreme cold temperature > Extreme cold days; Extreme hot temperature > Extreme hot days; Extreme hot temperature > Heat wave,"Air-pollution related illnesses; Heat-related illnesses; Lack of climate-informed surveillance, preparedness, early warning and response; Mental health impacts; Vector-borne infectious diseases (e.g. malaria, dengue, Lyme disease, tick-borne encephalitis)",Medium-term (2026-2050),"Elderly; Other, please specify: Persons with mental problems, particularly seasonal affective disorders; Outdoor workers; Persons with disabilities; Persons with pre-existing medical conditions","With climate change, the winters are expected to become warmer and therefore darker (more rain, cloudiness, less snow and therefore light). Finnish people are not very adopted to heat and therefore heat waves cause health problems and also deaths."
Cities 2021,10495,"City of Las Vegas, NV",United States of America,North America,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Health outcomes; Health systems (service provision, infrastructure and technologies)",Yes,Extreme hot temperature > Extreme hot days; Extreme hot temperature > Heat wave,Air-pollution related illnesses; Direct physical injuries and deaths due to extreme weather events; Heat-related illnesses,Current,Children and youth; Elderly; Marginalized groups; Persons with disabilities,
Cities 2021,10595,Leeds City Council,United Kingdom of Great Britain and Northern Ireland,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health outcomes; Health systems (service provision, infrastructure and technologies)",Yes,Biological hazards > Air-borne disease; Biological hazards > Insect infestation; Biological hazards > Vector-borne disease; Biological hazards > Water-borne disease; Extreme hot temperature > Extreme hot days; Extreme hot temperature > Heat wave; Flood and sea level rise > Flash / surface flood; Flood and sea level rise > Groundwater flood; Flood and sea level rise > River flood; Water Scarcity > Drought,"Air-pollution related illnesses; Damage/destruction to health infrastructure and technology; Direct physical injuries and deaths due to extreme weather events; Disruption of health-related services (e.g. roads, electricity, communications, emergency/ambulatory response, laboratories, pharmacies); Disruption to health service provision; Disruption to water, sanitation and wastewater services; Exacerbation of Non-Communicable Disease Symptoms (e.g. respiratory disease, cardiovascular disease, renal disease); Food & Nutrition Security; Heat-related illnesses; Lack of climate-informed surveillance, preparedness, early warning and response; Mental health impacts; Overwhelming of health service provision due to increased demand; Vector-borne infectious diseases (e.g. malaria, dengue, Lyme disease, tick-borne encephalitis); Water-borne and food-borne infectious diseases (e.g. diarrhoeal diseases and wound infections)",Current,Children and youth; Elderly; Factory workers; Low-income households; Marginalized groups; Outdoor workers; Persons living in sub-standard housing; Persons with disabilities; Persons with pre-existing medical conditions; Unemployed persons; Women,"Leeds is increasing experiencing multiday periods of excessively hot weather (often combined with high humidity) which can be harmful to health resulting in increased hospital admissions for heat- related illness, as well as cardiovascular and respiratory disorders. Some populations are more vulnerable and at higher risk such as low-income urban residents, those with underlying health conditions, people living alone, young children and older people. This is resulting in more proactive action to issue alerts and advice to the public on how to stay safe in hot weather."
Cities 2021,10806,London Borough of Enfield,United Kingdom of Great Britain and Northern Ireland,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health outcomes; Health systems (service provision, infrastructure and technologies)",No,Extreme cold temperature > Cold wave; Extreme hot temperature > Heat wave; Extreme Precipitation > Rain storm; Flood and sea level rise > Flash / surface flood; Flood and sea level rise > River flood; Water Scarcity > Drought,Air-pollution related illnesses; Heat-related illnesses; Mental health impacts,Medium-term (2026-2050),Children and youth; Elderly; Low-income households; Marginalized groups; Outdoor workers; Persons living in sub-standard housing; Persons with disabilities; Persons with pre-existing medical conditions,"Climate change represents threats to the very foundations of health – from water, food, heat, housing, transport and supplies, demand on services right up to and including civil unrest and armed conflict.  Climate change is a prescient threat to health."
Cities 2021,10894,"City of Los Angeles, CA",United States of America,North America,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,11315,City of Manchester,United Kingdom of Great Britain and Northern Ireland,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Areas outside the health sector (e.g. agriculture, water and sanitation, transport, power generation, built environment); Health outcomes; Health systems (service provision, infrastructure and technologies)",No,Flood and sea level rise > Flash / surface flood; Flood and sea level rise > River flood,"Disruption to health service provision; Disruption to water, sanitation and wastewater services",Medium-term (2026-2050),"Elderly; Low-income households; Marginalized groups; Other, please specify: Black and minority ethnic communities. Households unable to access transport. Those with fewer educational qualifications. People in social housing or rental housing. Those with communication difficulties/limited proficiency in English. Homeless; Persons living in sub-standard housing; Persons with disabilities; Persons with pre-existing medical conditions","Further work is needed on this topic. This will be undertaken by the 'Manchester Health, Wellbeing and Climate Change Independent Advisory Group, once established during 2021-22. Its establishment has been delayed due to COVID. http://www.manchesterclimate.com/advisory-groupsThis has been scoped in Manchester Climate Risk: a framework for understanding hazards and vulnerability. This report, published in May 2021 states:The adverse direct impacts of climate change – particularly from flooding and higher summer temperatures/ heatwaves - on human health could be considerable. They will involve both exacerbating existing health inequalities and the introduction of new health risks for people. Notably, Greater Manchester is referred to as a ‘Marmot city-region’; a place necessitating innovative cross sectoral governance responses to address significant health in-equalities (Codling & Allen, 2020). Health inequalities and the impacts on recovery from shocks were further demonstrated by recent work by Public Health England (2020) outlining disparities in the risk and outcomes from COVID19 across a range of population characteristics (see also Marmot et al, 2020).The human health impacts of climate change may disproportionately affect those who are already vulnerable, for example, older people, very young people, people living in socio-economic deprivation and those with underlying health conditions. Demonstrating this, heatwaves and air pollution exacerbated by climate conditions or moorland fires can cause death and serious illness, particularly in the elderly, children and those with pre-existing respiratory illness and cardio-vascular disease. Flood water poses a (relatively small) risk of drowning and may harbour disease. Households that flood, but for whatever reason are unable to relocate either during the flood event or the process of reconstruction, report ill-health from living in damp homes.Experience of hazards can generate severe mental health and emotional impacts that may outlast the immediate impacts of events. For instance, communities that have suffered from flooding often report impacts in mental health several years after specific flood events. In the longer-term, climate change could increase the risk of new pathogens and diseases borne by invasive insect species.It is possible that warmer summers and milder winters will encourage greater use of the outdoors and greenspace, potentially bringing benefits to physical and mental health.Climate change will have likely impacts on the delivery of functional human health and social care services. There are two key dimensions to this: 1.How climate change will directly impact staff, facilities and the effective delivery of essential human health and social care services. This might include disruption to buildings through flooding or other weather related damage, staff shortages during extreme weather events, or disruption caused by outages to critical infrastructure such as road and public transport networks, power and water supply and/ or IT and communication systems. 2.How climate change will drive further/ or a new demand for services. For instance, heatwaves may put pressure on acute medical services. Dislocation from floods and storms might increase pressure on social services and GP services. There may also be longer term stresses on services given that climate change is likely to increase chronic physical and mental health challenges."
Cities 2021,11315,City of Manchester,United Kingdom of Great Britain and Northern Ireland,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,2,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,"Health outcomes; Health systems (service provision, infrastructure and technologies)",,Chemical change > Atmospheric CO2 concentrations; Wild fire > Land fire,"Air-pollution related illnesses; Exacerbation of Non-Communicable Disease Symptoms (e.g. respiratory disease, cardiovascular disease, renal disease)",Current,Children and youth; Elderly; Factory workers; Low-income households; Marginalized groups; Outdoor workers; Persons living in sub-standard housing; Persons with disabilities; Persons with pre-existing medical conditions,"Air pollution and climate change are closely related. As well as driving climate change, the main cause of CO2 emissions – the extraction and burning of fossil fuels – is also a major source of air pollutants. What’s more, many air pollutants contribute to climate change by affecting the amount of incoming sunlight that is reflected or absorbed by the atmosphere, with some pollutants warming and others cooling the Earth. These short-lived climate-forcing pollutants (SLCPs) include methane, black carbon, ground-level ozone, and sulphate aerosols. They have significant impacts on the climate: black carbon and methane in particular are among the top contributors to global warming after CO2.Poor air quality is the largest environmental risk to the public’s health. Taking action to improve air quality is crucial to improve the health of the general population. Whilst air quality has been generally improving over time, particular pollutants remain a serious concern in many urban areas including across Manchester.Air pollution affects the health of people living, working and travelling in Greater Manchester. Pollutants such as nitrogen dioxide (NO2) which is the harmful oxide of nitrogen (NOx), and particulate matter (PM2.5 and PM10) that are not visible to the naked eye are found at dangerous levels in many urban areas and on busy roads. Road transport causes two-thirds of NOx emissions and nearly 80% of PM emissions at the roadside. Diesel vehicles are the main source of road-based NOx emissions in Greater Manchester, and older vehicles are typically more polluting than newer vehicles. Large vehicles such as lorries are the most polluting from the exhaust pipe, and in general, diesel vehicles contribute the most. Breathing in polluted air contributes to the equivalent of 1,200 deaths a year in Greater Manchester. Both long and short term exposure to air pollution are known to adversely affect health. It affects people’s lungs in the short and long term, worsening respiratory issues such as asthma or bronchitis, as well as cardiovascular problems, and reduces life expectancy. Health damage caused by air pollution can begin as early as a baby’s first few weeks in the womb and exposure over a long time can lead to heart and lung disease. The most vulnerable in society are hit hardest – children, older people and those already in poor health. Everyone is at risk. But people who spend more time in areas with a high concentration of air pollution are most affected – which can include drivers. The air you breathe inside your vehicle can be dirtier than the air outside so people who spend a lot of time in their cars, taxis, vans or lorries are particularly at risk. The people living in places with the dirtiest air are often those least likely to drive, and some of the Greater Manchester’s most deprived communities suffer the worst air pollution as they live close to busy roads. In total, it is estimated that the health and social care costs of air pollution in England could reach £5.3 billion by 20355 unless action is taken. Changing the vehicles we drive and how we travel can clean up our air. This will require residents and businesses to take action, with Greater Manchester’s local authorities leading the way. Action is already underway, and this Clean Air Plan will bring forward Measures to bring illegally high roadside NO2 levels within legal limits as soon as possible."
Cities 2021,31110,Comune di Roma Capitale,Italy,Europe,2. Climate Hazards and Vulnerability,Climate Hazards,0,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
Cities 2021,13067,"City of New Orleans, LA",United States of America,North America,2. Climate Hazards and Vulnerability,Climate Hazards,1,2.3a,Please report on how climate change impacts health outcomes and health services in your city.,,Yes,Biological hazards > Insect infestation; Biological hazards > Vector-borne disease; Chemical change > Salt water intrusion; Extreme hot temperature > Extreme hot days; Extreme hot temperature > Heat wave; Extreme Precipitation > Rain storm; Flood and sea level rise > Coastal flood; Flood and sea level rise > Groundwater flood; Flood and sea level rise > River flood; Mass movement > Subsidence; Storm and wind > Cyclone (Hurricane / Typhoon); Storm and wind > Extra tropical storm; Storm and wind > Lightning / thunderstorm; Storm and wind > Severe wind; Storm and wind > Storm surge; Storm and wind > Tropical storm,"Air-pollution related illnesses; Direct physical injuries and deaths due to extreme weather events; Disruption of health-related services (e.g. roads, electricity, communications, emergency/ambulatory response, laboratories, pharmacies); Disruption to water, sanitation and wastewater services; Exacerbation of Non-Communicable Disease Symptoms (e.g. respiratory disease, cardiovascular disease, renal disease); Heat-related illnesses; Mental health impacts; Vector-borne infectious diseases (e.g. malaria, dengue, Lyme disease, tick-borne encephalitis)",Current,"Children and youth; Elderly; Indigenous populations; Low-income households; Marginalized groups; Other, please specify: Homeless persons; Outdoor workers; Persons living in sub-standard housing; Persons with disabilities; Persons with pre-existing medical conditions; Unemployed persons",https://www.nola.gov/getattachment/Health/Climate-Change-(1)/Planning-Tools-and-Data/Climate-Change-and-Health-Report-2018-Final.pdf/
